Name,A Red,A Green,A Blue,B Red,B Green,B Blue,Choice,Is Correct
NathanPhone,117,7,255,246,229,3,b,true
NathanPhone,200,19,6,33,253,254,b,true
NathanPhone,240,5,2,11,252,245,a,true
NathanPhone,3,4,244,252,253,1,b,true
NathanPhone,240,155,241,48,19,66,a,true
NathanPhone,154,234,253,130,28,16,a,true
NathanPhone,58,28,214,249,250,51,a,true
NathanPhone,254,246,12,2,10,111,a,true
NathanPhone,239,24,208,1,247,11,a,true
NathanPhone,81,233,204,233,185,145,a,true
NathanPhone,249,68,172,255,229,193,b,true
NathanPhone,178,69,159,126,181,33,a,true
NathanPhone,77,139,98,48,3,173,a,true
NathanPhone,147,134,233,24,89,141,b,true
NathanPhone,228,52,42,38,82,84,b,true
NathanPhone,134,115,22,28,249,23,b,true
NathanPhone,239,141,170,250,45,2,a,true
NathanPhone,207,101,63,91,61,158,b,true
NathanPhone,81,41,85,214,7,220,b,true
NathanPhone,8,234,54,29,218,214,b,true
NathanPhone,216,122,38,61,211,76,a,true
NathanPhone,65,106,195,165,69,108,a,true
NathanPhone,237,78,88,183,223,101,b,true
NathanPhone,200,84,37,14,25,52,b,true
NathanPhone,56,170,203,78,30,159,a,true
NathanPhone,172,64,91,4,80,136,a,true
NathanPhone,82,217,251,102,121,90,a,true
NathanPhone,223,74,77,118,86,184,a,true
NathanPhone,117,139,144,11,5,173,a,true
NathanPhone,104,27,172,25,157,70,b,true
NathanPhone,174,187,102,234,249,215,b,true
NathanPhone,33,67,171,194,86,118,b,true
NathanPhone,122,83,67,244,229,108,b,true
NathanPhone,20,0,55,112,103,109,b,true
NathanPhone,87,138,25,140,162,173,a,true
NathanPhone,42,71,179,29,239,124,b,true
NathanPhone,10,104,62,43,62,198,a,true
NathanPhone,98,228,54,33,84,4,b,true
NathanPhone,145,62,128,0,112,9,a,true
NathanPhone,240,200,89,182,198,13,a,true
NathanPhone,167,220,201,119,232,72,b,true
NathanPhone,244,165,211,219,128,58,a,true
NathanPhone,89,248,202,66,108,82,b,true
NathanPhone,11,14,233,46,46,107,b,true
NathanPhone,215,182,44,51,148,55,a,true
NathanPhone,49,133,98,191,56,195,a,true
NathanPhone,103,67,13,184,179,11,b,true
NathanPhone,140,189,235,164,83,105,a,true
NathanPhone,49,14,227,239,32,243,a,true
NathanPhone,215,239,52,130,244,172,b,true
NathanPhone,137,130,2,146,251,100,a,true
NathanPhone,132,45,137,59,207,125,b,true
NathanPhone,89,132,184,12,178,81,a,true
NathanPhone,220,126,26,182,100,196,b,true
NathanPhone,17,26,80,149,143,65,a,true
NathanPhone,6,19,97,46,129,0,b,true
NathanPhone,248,25,165,140,146,215,a,true
NathanPhone,217,191,17,58,118,81,b,true
NathanPhone,200,125,79,248,21,163,a,true
NathanPhone,145,242,80,212,96,8,b,true
NathanPhone,50,180,190,217,248,186,a,true
NathanPhone,188,222,189,236,199,63,a,true
NathanPhone,224,217,160,94,159,73,b,true
NathanPhone,144,173,27,75,87,179,a,true
NathanPhone,128,236,148,0,223,202,a,true
NathanPhone,91,181,45,221,254,135,a,true
NathanPhone,70,51,49,240,102,122,b,true
NathanPhone,50,83,218,119,168,213,a,true
NathanPhone,61,112,49,170,81,134,b,true
NathanPhone,102,182,163,118,134,11,a,true
NathanPhone,36,209,218,127,38,201,b,true
NathanPhone,14,185,132,79,112,173,a,true
NathanPhone,97,225,182,28,109,200,b,true
NathanPhone,203,59,51,231,147,191,a,true
NathanPhone,152,171,133,223,2,156,a,true
NathanPhone,86,56,86,9,73,143,b,true
NathanPhone,155,116,246,155,116,245,a,true
NathanPhone,190,11,86,189,9,84,a,true
NathanPhone,20,95,24,20,95,23,a,false
NathanPhone,217,165,118,214,166,120,b,false
NathanPhone,175,144,122,180,144,119,a,true
NathanPhone,218,155,19,219,154,18,b,true
NathanPhone,249,201,182,248,202,187,b,false
NathanPhone,109,177,231,107,176,231,b,true
NathanPhone,94,177,40,94,177,45,b,false
NathanPhone,206,187,174,203,186,175,a,false
NathanPhone,62,185,57,63,185,53,a,false
NathanPhone,35,128,194,35,128,193,a,true
NathanPhone,97,2,22,97,3,20,a,false
NathanPhone,66,205,142,62,201,141,a,false
NathanPhone,204,85,56,200,86,56,b,false
NathanPhone,20,230,215,20,226,216,a,false
NathanPhone,158,140,221,158,137,218,a,false
NathanPhone,209,241,192,214,240,196,a,true
NathanPhone,121,40,59,123,38,60,a,false
NathanPhone,197,159,51,198,148,55,b,true
NathanPhone,27,148,112,28,146,113,a,false
NathanPhone,199,86,145,199,74,153,a,true
NathanPhone,212,190,117,206,189,119,a,true
NathanPhone,170,119,179,164,121,171,b,true
NathanPhone,96,40,125,101,36,123,a,true
NathanPhone,177,241,35,180,249,39,a,true
NathanPhone,200,203,192,213,188,187,a,true
NathanPhone,74,213,122,73,210,121,a,false
Nathan,10,180,110,193,176,230,a,true
Nathan,73,199,127,235,84,79,a,true
Nathan,57,243,167,50,30,129,a,true
Nathan,115,164,247,227,21,157,b,true
Nathan,29,236,249,3,34,190,a,true
Nathan,67,214,248,111,97,74,a,true
Nathan,218,78,84,107,118,67,b,true
Nathan,2,3,63,58,199,39,a,true
Nathan,110,154,185,4,135,1,a,true
Nathan,122,132,4,21,147,198,a,true
Nathan,135,118,241,185,164,144,b,true
Nathan,30,33,75,182,56,207,b,true
Nathan,230,205,93,101,43,93,b,true
Nathan,123,51,143,224,232,88,b,true
Nathan,45,157,140,105,126,78,b,true
Nathan,217,73,153,140,163,131,a,true
Nathan,101,42,184,52,232,128,b,true
Nathan,193,212,253,141,159,53,a,true
Nathan,12,245,246,86,47,194,b,true
Nathan,172,215,170,176,127,154,b,true
Nathan,105,234,239,46,126,248,b,true
Nathan,213,212,104,80,64,59,b,true
Nathan,17,166,48,152,7,11,a,true
Nathan,212,1,24,238,10,236,b,true
Nathan,3,201,123,46,243,53,b,true
Nathan,135,115,76,247,71,98,b,true
Nathan,95,138,227,145,46,56,b,true
Nathan,103,222,35,4,42,82,a,true
Nathan,13,154,126,200,111,222,a,true
Nathan,143,113,109,128,64,55,a,true
Nathan,0,0,0,255,255,255,a,true
Nathan,241,242,98,0,248,246,b,true
Nathan,18,200,38,233,84,214,a,true
Nathan,208,8,23,44,159,248,a,true
Nathan,2,217,251,235,67,40,b,true
Nathan,47,243,252,209,23,10,b,true
Nathan,251,248,24,0,4,234,b,true
Nathan,112,28,183,133,230,56,b,true
NathanPhone,8,154,117,95,140,119,b,true
NathanPhone,41,18,197,129,15,227,a,true
NathanPhone,127,49,3,171,52,65,a,true
NathanPhone,245,127,97,193,174,53,a,true
NathanPhone,149,168,106,179,109,45,a,true
NathanPhone,252,224,19,180,213,3,b,true
NathanPhone,151,222,84,202,179,29,b,true
NathanPhone,199,166,21,199,119,103,a,true
NathanPhone,155,159,105,96,77,80,a,true
NathanPhone,89,249,21,65,242,91,b,true
NathanPhone,120,197,187,106,142,247,b,true
NathanPhone,242,235,138,222,215,53,b,true
